상권업종중분류코드,상호명,지점명,광역시도,시군구,도로명주소,커피샵
Q12,스타벅스,파주프리미엄점,경기도,파주시,경기도 파주시 탄현면 필승로 200,스타벅스
Q12,스타벅스,대화역점,경기도,고양시 일산서구,경기도 고양시 일산서구 중앙로 1559,스타벅스
Q12,스타벅스,수원경희대점,경기도,수원시 영통구,경기도 수원시 영통구 덕영대로 1695,스타벅스
Q12,스타벅스,안산한양대점,경기도,안산시,경기도 안산시 상록구 성안길 82-3,스타벅스
Q12,스타벅스,부천시청역점,경기도,부천시,경기도 부천시 길주로 181,스타벅스
Q12,스타벅스광명사거리역점,광명사거리역점,경기도,광명시,경기도 광명시 광명로 907,스타벅스
Q12,스타벅스,용인보정점,경기도,용인시 기흥구,경기도 용인시 기흥구 죽전로 20,스타벅스
Q12,스타벅스,수원인계DT점,경기도,수원시 팔달구,경기도 수원시 팔달구 인계로94번길 3,스타벅스
Q12,스타벅스,안산중앙점,경기도,안산시,경기도 안산시 단원구 고잔로 102,스타벅스
Q12,스타벅스,안산한대앞역점,경기도,안산시 상록구,경기도 안산시 상록구 광덕1로 379,스타벅스
Q12,스타벅스,산본동점,경기도,군포시,경기도 군포시 산본로 398,스타벅스
Q12,스타벅스,부천신중동역점,경기도,부천시,경기도 부천시 길주로 281,스타벅스
Q12,스타벅스,포천송우점,경기도,포천시,경기도 포천시 소흘읍 솔모루로 55,스타벅스
Q12,스타벅스,마두역점,경기도,고양시 일산동구,경기도 고양시 일산동구 중앙로 1191,스타벅스
Q12,스타벅스,평택송탄점,경기도,평택시,경기도 평택시 관광특구로 38,스타벅스
Q12,스타벅스,안산트레이더스점,경기도,안산시,경기도 안산시 단원구 중앙대로 397,스타벅스
Q12,스타벅스,의정부금오점,경기도,의정부시,경기도 의정부시 청사로48번길 7,스타벅스
Q12,스타벅스,,경기도,고양시 덕양구,경기도 고양시 덕양구 벽제관로 32,스타벅스
Q12,스타벅스야탑글라스점,,경기도,성남시 분당구,경기도 성남시 분당구 성남대로916번길 11,스타벅스
Q12,스타벅스,일산백마점,경기도,고양시 일산동구,경기도 고양시 일산동구 일산로 237,스타벅스
Q12,스타벅스부천역사,부천역사,경기도,부천시,경기도 부천시 부천로 1,스타벅스
Q12,스타벅스,아주대점,경기도,수원시 팔달구,경기도 수원시 팔달구 월드컵로 205,스타벅스
Q12,스타벅스,평내호평역점,경기도,남양주시,경기도 남양주시 늘을1로16번길 25,스타벅스
Q12,스타벅스,의정부공원점,경기도,의정부시,경기도 의정부시 평화로 540,스타벅스
Q12,스타벅스용인시청DT,,경기도,용인시 처인구,경기도 용인시 처인구 중부대로 1130,스타벅스
Q12,스타벅스,하남신장점,경기도,하남시,경기도 하남시 신장로 130,스타벅스
Q12,스타벅스용인동백DT점,용인동백DT점,경기도,용인시 기흥구,경기도 용인시 기흥구 어정로 102,스타벅스
Q12,스타벅스,김포장기커낼점,경기도,김포시,경기도 김포시 김포한강2로 41,스타벅스
Q12,스타벅스,용인마북DT점,경기도,용인시 기흥구,경기도 용인시 기흥구 용구대로 2330,스타벅스
Q12,스타벅스동두천DT점,동두천DT점,경기도,동두천시,경기도 동두천시 평화로 2254,스타벅스
Q12,스타벅스과천점,과천점,경기도,과천시,경기도 과천시 중앙로 129,스타벅스
Q12,씨제이대한통운덕평스타벅스센터,,경기도,이천시,경기도 이천시 마장면 덕평로 816-38,스타벅스
Q12,스타벅스,고양DT점,경기도,고양시 덕양구,경기도 고양시 덕양구 호국로 1775,스타벅스
Q12,스타벅스,야탑역사거리점,경기도,성남시 분당구,경기도 성남시 분당구 야탑로 102,스타벅스
Q12,스타벅스,AK평택역사점,경기도,평택시,경기도 평택시 평택로 51,스타벅스
Q12,스타벅스이천터미널,,경기도,이천시,경기도 이천시 중리천로 84,스타벅스
Q12,스타벅스,파주운정점,경기도,파주시,경기도 파주시 와석순환로 135,스타벅스
Q12,스타벅스,시흥은계점,경기도,시흥시,경기도 시흥시 은계번영길 9,스타벅스
Q12,스타벅스김포풍무점,김포풍무점,경기도,김포시,경기도 김포시 풍무로 45-1,스타벅스
Q12,스타벅스동수원,,경기도,수원시 팔달구,경기도 수원시 팔달구 중부대로 161,스타벅스
Q12,스타벅스커피용인처인구청,,경기도,용인시 처인구,경기도 용인시 처인구 금령로 60,스타벅스
Q12,스타벅스,하남황산사거리점,경기도,하남시,경기도 하남시 조정대로 65,스타벅스
Q12,스타벅스,이천하이닉스점,경기도,이천시,경기도 이천시 부발읍 경충대로 2100,스타벅스
Q12,스타벅스경기광주점,경기광주점,경기도,광주시,경기도 광주시 광주대로 35,스타벅스
Q12,스타벅스,의왕청계DT점,경기도,의왕시,경기도 의왕시 안양판교로 246,스타벅스
Q12,스타벅스,광교갤러리아9F점,경기도,수원시 영통구,경기도 수원시 영통구 광교중앙로 124,스타벅스
Q12,스타벅스,화성봉담DT점,경기도,화성시,경기도 화성시 효행로 217-2,스타벅스
Q12,스타벅스,도농역점,경기도,남양주시,경기도 남양주시 미금로 239,스타벅스
Q12,스타벅스,다산진건점,경기도,남양주시,경기도 남양주시 다산중앙로123번길 22-26,스타벅스
Q12,스타벅스,판교알파돔타워점,경기도,성남시 분당구,경기도 성남시 분당구 판교역로 152,스타벅스
Q12,스타벅스,화정점,경기도,고양시 덕양구,경기도 고양시 덕양구 화신로272번길 57,스타벅스
Q12,스타벅스,스타필드안성R점,경기도,안성시,경기도 안성시 공도읍 서동대로 3980,스타벅스
Q12,스타벅스,오산세교점,경기도,오산시,경기도 오산시 수청로 193,스타벅스
